n,scenario,requested_ratio,generated_permutations,prefix_tests,rejected_prefixes,comparisons,local_assignments,vector_assignments,elapsed_seconds,internal_overhead_ratio,actual_ratio,comparisons_normalized,overhead_comparisons_pct,local_assignments_normalized,overhead_local_assignments_pct,vector_assignments_normalized,overhead_vector_assignments_pct,elapsed_seconds_normalized,overhead_elapsed_seconds_pct,accepted_percent,identity_ratio
6,X_n6_ratio_0.6667,0.6666666666666666,480,1306,2,17599,11204,5084,0.0028969999984838,2.720833333333333,0.6666666666666666,0.6673618747866975,0.0695208120030876,0.6672224868985231,0.0555820231856518,0.6671916010498687,0.0524934383202113,0.6755538799831805,0.2934040130238347,66.66666666666666,0.6666666666666666
6,X_n6_ratio_0.8333,0.8333333333333334,600,1631,1,21985,13998,6352,0.0035285420017316,2.7183333333333333,0.8333333333333334,0.8336809373933488,0.0347604060015438,0.8336112434492615,0.0277910115928148,0.8335958005249344,0.0262467191601056,0.8228236938905648,-1.7760596171209175,83.33333333333334,0.8333333333333334
6,X_n6_ratio_1.0000,1.0,720,1956,0,26371,16792,7620,0.0042883330024778,2.716666666666667,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.8812284797198089,100.0,1.0
7,X_n7_ratio_0.1429,0.1428571428571428,720,1963,6,26438,16829,7637,0.004696916003013,2.7263888888888888,0.1428571428571428,0.14314952785237806,0.0292384995235206,0.1430903571944801,0.023321433733725,0.14308196721311475,0.0224824355971903,0.15670185332215072,0.9461887091498866,14.28571428571428,0.1428571428571428
7,X_n7_ratio_0.2857,0.2857142857142857,1440,3919,5,52813,33626,15260,0.0099319590080995,2.7215277777777778,0.2857142857142857,0.2859579398769817,0.0243654162696005,0.2859086309954001,0.0194345281114394,0.28590163934426227,0.0187353629976572,0.3313570825389346,3.637500875743288,28.57142857142857,0.2857142857142857
7,X_n7_ratio_0.4286,0.4285714285714285,2160,5875,4,79188,50423,22883,0.0136924999824259,2.719907407407407,0.4285714285714285,0.42876635190158535,0.0194923330156804,0.4287269047963201,0.0155476224891537,0.4287213114754098,0.0149882903981268,0.4568189259682862,1.5470643621687374,42.85714285714285,0.4285714285714285
7,X_n7_ratio_0.5714,0.5714285714285714,2880,7831,3,105563,67220,30506,0.0176300839812029,2.719097222222222,0.5714285714285714,0.571574763926189,0.0146192497617603,0.5715451785972401,0.011660716866868,0.5715409836065574,0.0112412177985965,0.5881874047369481,0.0307710039365582,57.14285714285714,0.5714285714285714
7,X_n7_ratio_0.7143,0.7142857142857143,3600,9787,2,131938,84017,38129,0.0232350000005681,2.718611111111111,0.7142857142857143,0.7143831759507927,0.0097461665078402,0.71436345239816,0.0077738112445713,0.7143606557377049,0.0074941451990606,0.7751826006029422,3.921565952486727,71.42857142857143,0.7142857142857143
7,X_n7_ratio_0.8571,0.8571428571428571,4320,11743,1,158313,100814,45752,0.0257402080169413,2.718287037037037,0.8571428571428571,0.8571915879753963,0.0048730832539201,0.8571817261990801,0.0038869056222967,0.8571803278688525,0.0037470725995358,0.8587631327800902,-2.2398630654317797,85.71428571428571,0.8571428571428571
7,X_n7_ratio_1.0000,1.0,5040,13699,0,184688,117611,53375,0.0299735829757992,2.718055555555555,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.7969186583259975,100.0,1.0
8,X_n8_ratio_0.1250,0.125,5040,13707,7,184763,117652,53394,0.029844041011529,2.719642857142857,0.125,0.12504204433249166,0.0042044332491664,0.12503347630727638,0.0033476307276375,0.1250327838141626,0.0032783814162606,0.12531031786034644,-0.0251586952992627,12.5,0.125
8,X_n8_ratio_0.2500,0.25,10080,27406,6,369455,235268,106772,0.0594987079966813,2.7188492063492062,0.25,0.25003603799927854,0.0036037999278537,0.2500286939776655,0.0028693977665472,0.25002810041213935,0.0028100412139353,0.24982548470777907,-0.1294759377057891,25.0,0.25
